median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.058255, 0.403704, 0.101863, 0.463639, 0.027336, 0.536361, 0.015491
wikidata_tekgen, verified, 0.080683, 0.454828, 0.133216, 0.437048, 0.020866, 0.562952, 0.015675
wikidata_tekgen, all, 0.081578, 0.353375, 0.123022, 0.374663, 0.024679, 0.625337, 0.018088
dbpedia_webnlg, all, 0.031877, 0.093176, 0.042746, 0.313471, 0.008239, 0.686529, 0.017346

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.038988, 0.289286, 0.068040, 0.239608, 0.016264, 0.477931, 0.004951
wikidata_tekgen, verified, 0.065735, 0.362302, 0.110524, 0.317322, 0.014361, 0.517423, 0.014051
wikidata_tekgen, all, 0.058927, 0.317383, 0.099170, 0.271099, 0.020289, 0.550518, 0.013564
dbpedia_webnlg, all, 0.015778, 0.058976, 0.025138, 0.166976, 0.006012, 0.594967, 0.009032

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.065586, 0.443269, 0.112877, 0.522069, 0.037776, 0.760392, 0.047198
wikidata_tekgen, verified, 0.111434, 0.488536, 0.175702, 0.482577, 0.027963, 0.682678, 0.025503
wikidata_tekgen, all, 0.093194, 0.414973, 0.148687, 0.449482, 0.030711, 0.728901, 0.025580
dbpedia_webnlg, all, 0.068111, 0.140887, 0.090051, 0.405033, 0.014937, 0.833024, 0.025026

