median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.458333, 0.500000, 0.458333, 1.000000, 0.000000, 0.000000, 0.060714
wikidata_tekgen, verified, 0.465286, 0.478671, 0.450367, 0.997467, 0.039604, 0.002533, 0.045699
wikidata_tekgen, all, 0.442188, 0.425933, 0.398615, 0.994521, 0.103181, 0.005479, 0.056361
dbpedia_webnlg, all, 0.559837, 0.524568, 0.540382, 0.996764, 0.026786, 0.003236, 0.199074

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.284915, 0.409722, 0.340463, 1.000000, 0.000000, 0.000000, 0.041346
wikidata_tekgen, verified, 0.430212, 0.417365, 0.404196, 0.987195, 0.027054, 0.000000, 0.031661
wikidata_tekgen, all, 0.381775, 0.375238, 0.368026, 0.989283, 0.085710, 0.003773, 0.037834
dbpedia_webnlg, all, 0.441419, 0.417870, 0.424065, 0.994573, 0.003788, 0.000000, 0.126031

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.746875, 0.775000, 0.762500, 1.000000, 0.031684, 0.000000, 0.085648
wikidata_tekgen, verified, 0.618594, 0.669920, 0.626147, 1.000000, 0.082854, 0.012805, 0.073609
wikidata_tekgen, all, 0.553233, 0.546131, 0.523827, 0.996227, 0.108752, 0.010717, 0.076057
dbpedia_webnlg, all, 0.612182, 0.606149, 0.607650, 1.000000, 0.065783, 0.005427, 0.261394

